PC1_1,PC2_1,PC1_2,PC2_2,PC1_3,PC2_3,PC1_4,PC2_4,PC1_5,PC2_5,PC1_6,PC2_6,PC1_7,PC2_7,PC1_8,PC2_8,PC1_9,PC2_9,PC1_10,PC2_10,PC1_11,PC2_11,PC1_12,PC2_12,PC1_13,PC2_13,PC1_14,PC2_14,PC1_15,PC2_15,PC1_16,PC2_16,PC1_17,PC2_17,PC1_18,PC2_18
0.036270682,-0.021543119,0.050119885,0.000110244,0.043656746,-0.018236376,-0.035078976,0.010551181,-0.038308845,0.000511006,-0.03794816,-0.005071257,-0.06928054,0.042550664,-0.04272304,0.03337392,-0.012787396,-0.007486999,-0.02628035,0.036917558,-0.040932733,0.074629653,-0.037420939,-0.003413469,-0.03596901,-0.00592992,-0.028336902,0.05838848,-0.042826972,0.003609116,-0.018731872,-0.02907552,0.03642428,0.007410522,-0.033700274,-0.004005543
0.028916089,0.071296552,0.010714081,0.102804864,0.017864757,-0.112507487,-0.021075224,0.065721716,-0.001174671,0.077668936,-0.032763934,0.107415682,0.010638972,0.1279682,-0.013371173,0.098118121,-0.033568973,0.110009725,-0.038293105,0.021100976,-0.028600645,0.004247425,-0.022335225,0.029624543,-0.004325692,-0.057768835,-0.00710258,0.088874561,-0.029519276,-0.045209764,-0.015687663,-0.056662501,0.02459404,-0.094071274,-0.022009072,-0.124293903
0.030173284,0.149393045,0.01920331,0.142692158,0.024374338,-0.14123615,-0.00124139,0.152720443,-0.001252121,0.137943312,-0.03742377,0.130019605,-0.002047686,0.096412736,-0.002911053,0.137069764,-0.033598953,0.148824062,-0.024854792,0.135646492,-0.039661501,0.105410959,-0.015955909,0.145701085,-0.007965632,-0.143379953,0.000144923,0.118923081,-0.017875482,-0.123605847,-0.001904655,-0.093861061,0.019184804,-0.142104492,-0.027818191,-0.14488843
0.041915486,-0.02274737,0.049020062,-0.040518534,0.04103475,0.020872555,-0.036090637,0.004683233,-0.023364176,0.019468704,-0.04307093,-0.041729182,-0.02411347,-0.005993864,-0.04866098,-0.032854084,-0.036974209,-0.012540102,-0.042094536,-0.015508499,-0.053454292,-0.065739498,-0.02835976,0.005968727,-0.020297754,-0.019500018,-0.021538477,0.060890063,-0.030931778,-0.033987728,-0.052428572,0.03961623,0.050068288,0.052954217,-0.038635867,-0.009823858
0.002761757,0.012452443,-0.08686768,-0.024543668,-0.038100458,0.015271941,-0.010410444,0.006023631,-0.000745366,-0.065541804,-0.002978761,-0.007235098,0.054745193,-0.021640519,-0.04101013,-0.032863154,0.027455377,0.014405832,0.091218994,-0.009723961,0.041469573,-0.038379872,0.025518975,0.015613213,0.045686843,0.022218075,-0.019020282,0.035718588,0.004750783,-0.044631279,-0.00385054,-0.038974971,-0.045426484,-0.007702723,0.045387011,-0.01412339
-0.098113883,-0.017814516,-0.098053962,-0.027319426,-0.102700847,0.01716154,0.098817132,-0.030747733,0.088109534,-0.034228278,0.104501244,-0.014263655,0.092428148,-0.038969668,0.094240647,-0.030993835,0.101459929,-0.01636175,0.098622333,-0.017663588,0.097215766,-0.007159471,0.100537825,-0.025809457,0.095326067,0.037153406,0.094145339,-0.037452503,0.115096858,0.05613087,0.095561607,0.039704357,-0.099001238,0.031697035,0.103527155,0.018380984
-0.078363073,-0.013395102,-0.067769695,-0.004680524,-0.071670435,3.2963E-05,0.076309937,-0.022887113,0.067401766,-0.023479664,0.086857673,-0.013736247,0.074542943,-0.029654483,0.077848843,-0.022593834,0.082286297,-0.004008088,0.083595655,-0.014483157,0.084467755,-0.007452857,0.068151035,-0.012828578,0.08114915,0.028992204,0.078459704,-0.030827073,0.069619478,-0.010582641,0.075623902,0.025881118,-0.077420438,0.023039885,0.082369994,0.011868489
0.052638637,-0.060873691,0.045961846,-0.037923771,0.045979106,0.078816555,-0.056970924,-0.052348149,-0.065758806,-0.055198431,-0.045286267,-0.061196343,-0.054368989,-0.045929968,-0.05598017,-0.053822647,-0.04685069,-0.062124089,-0.050064844,-0.068077125,-0.053999556,-0.064445895,-0.053971629,-0.054664639,-0.062788566,0.058064844,-0.053408804,-0.034105418,-0.050081661,0.063395966,-0.061856589,0.051932597,0.052982082,0.059168331,-0.046130039,0.056766523
0.052780587,-0.05819635,0.053231688,-0.070487804,0.050897508,0.084565539,-0.061081403,-0.069264193,-0.067701725,-0.052606262,-0.053845251,-0.064760006,-0.06332526,-0.063617535,-0.06108602,-0.057708702,-0.053679478,-0.069347798,-0.054298688,-0.07646678,-0.038803044,-0.09489394,-0.058063742,-0.058026948,-0.069796539,0.060896396,-0.066090064,-0.058449931,-0.053905123,0.065833817,-0.064737568,0.054673438,0.057343828,0.063712925,-0.050485763,0.075392859
0.058519191,-0.076139724,0.057157852,-0.081106417,0.053366428,0.083850035,-0.063511452,-0.062791072,-0.07134907,-0.059399705,-0.050506096,-0.075638597,-0.069008528,-0.06739384,-0.065928561,-0.069192466,-0.052050306,-0.055385165,-0.058982815,-0.077822606,-0.032200907,-0.096409126,-0.060874189,-0.06238211,-0.059130574,0.044258777,-0.066637188,-0.06211851,-0.053709601,0.068759416,-0.06550701,0.058567081,0.058368066,0.064310298,-0.05355588,0.080504563
