K	CV
2	0.49994
3	0.37679
4	0.33731
5	0.29941
6	0.28746
7	0.28804
8	0.28042
9	0.28249
10	0.28123
2	0.37594
3	0.33338
4	0.29974
5	0.28746
6	0.28812
7	0.28346
8	0.28051
9	0.28102
10	0.28765
2	0.37777
3	0.33826
4	0.30043
5	0.28897
6	0.28931
7	0.28485
8	0.28131
9	0.2824
10	0.28944
2	0.37532
3	0.33605
4	0.29981
5	0.2872
6	0.2877
7	0.28394
8	0.28058
9	0.28044
10	0.28746
2	0.37613
3	0.33331
4	0.29968
5	0.28794
6	0.28831
7	0.28359
8	0.28014
9	0.28228
10	0.28109
2	0.37454
3	0.33136
4	0.29805
5	0.28663
6	0.28635
7	0.28228
8	0.27833
9	0.27842
10	0.27978
2	0.37751
3	0.33649
4	0.30019
5	0.28748
6	0.2877
7	0.28347
8	0.28016
9	0.28079
10	0.28799
2	0.37637
3	0.33282
4	0.29986
5	0.28736
6	0.28791
7	0.28523
8	0.28018
9	0.28109
10	0.28382
2	0.37672
3	0.33653
4	0.30001
5	0.28776
6	0.28895
7	0.28369
8	0.28044
9	0.28182
10	0.28687
2	0.37268
3	0.3339
4	0.29634
5	0.28393
6	0.28526
7	0.28005
8	0.27698
9	0.27773
10	0.2859
